Sample_Identification,Provider,Study_Number,Sample_Accession,Experiment_Accession,Run_Accession,Median_DoublingTime_NoAntimicrbial,Median_GrowthYield_NoAntimicrbial,Median_DoublingTime_CAM_0.5,Median_GrowthYield_CAM_0.5,Median_DoublingTime_CAM_1,Median_GrowthYield_CAM_1,Median_DoublingTime_CAM_2,Median_GrowthYield_CAM_2,Median_DoublingTime_CIP_0.002,Median_GrowthYield_CIP_0.002,Median_DoublingTime_CIP_0.004,Median_GrowthYield_CIP_0.004,Median_DoublingTime_CIP_0.008,Median_GrowthYield_CIP_0.008,Median_DoublingTime_CTX_0.5,Median_GrowthYield_CTX_0.5,Median_DoublingTime_CTX_1,Median_GrowthYield_CTX_1,Median_DoublingTime_CTX_2,Median_GrowthYield_CTX_2,Median_DoublingTime_KAN_4,Median_GrowthYield_KAN_4,Median_DoublingTime_KAN_8,Median_GrowthYield_KAN_8,Median_DoublingTime_KAN_16,Median_GrowthYield_KAN_16,Median_DoublingTime_TET_0.3,Median_GrowthYield_TET_0.3,Median_DoublingTime_TET_0.6,Median_GrowthYield_TET_0.6,Median_DoublingTime_TET_1.25,Median_GrowthYield_TET_1.25,Median_DoublingTime_TRIM_0.125,Median_GrowthYield_TRIM_0.125,Median_DoublingTime_TRIM_0.25,Median_GrowthYield_TRIM_0.25,Median_DoublingTime_TRIM_0.5,Median_GrowthYield_TRIM_0.5,StandardDeviation_DoublingTime_NoAntimicrbial,StandardDeviation_GrowthYield_NoAntimicrobial,StandardDeviation_DoublingTime_CAM_0.5,StandardDeviation_GrowthYield_CAM_0.5,StandardDeviation_DoublingTime_CAM_1,StandardDeviation_GrowthYield_CAM_1,StandardDeviation_DoublingTime_CAM_2,StandardDeviation_GrowthYield_CAM_2,StandardDeviation_DoublingTime_CIP_0.002,StandardDeviation_GrowthYield_CIP_0.002,StandardDeviation_DoublingTime_CIP_0.004,StandardDeviation_GrowthYield_CIP_0.004,StandardDeviation_DoublingTime_CIP_0.008,StandardDeviation_GrowthYield_CIP_0.008,StandardDeviation_DoublingTime_CTX_0.5,StandardDeviation_GrowthYield_CTX_0.5,StandardDeviation_DoublingTime_CTX_1,StandardDeviation_GrowthYield_CTX_1,StandardDeviation_DoublingTime_CTX_2,StandardDeviation_GrowthYield_CTX_2,StandardDeviation_DoublingTime_KAN_4,StandardDeviation_GrowthYield_KAN_4,StandardDeviation_DoublingTime_KAN_8,StandardDeviation_GrowthYield_KAN_8,StandardDeviation_DoublingTime_KAN_16,StandardDeviation_GrowthYield_KAN_16,StandardDeviation_DoublingTime_TET_0.3,StandardDeviation_GrowthYield_TET_0.3,StandardDeviation_DoublingTime_TET_0.6,StandardDeviation_GrowthYield_TET_0.6,StandardDeviation_DoublingTime_TET_1.25,StandardDeviation_GrowthYield_TET_1.25,StandardDeviation_DoublingTime_TRIM_0.125,StandardDeviation_GrowthYield_TRIM_0.125,StandardDeviation_DoublingTime_TRIM_0.25,StandardDeviation_GrowthYield_TRIM_0.25,StandardDeviation_DoublingTime_TRIM_0.5,StandardDeviation_GrowthYield_TRIM_0.5
25964_1#220,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607646,ERX3396797,ERR3372645,-0.159654796,-1.843764766,0.046786655,0.041040125,-0.025246755,0.385741448,-0.454844611,1.545303938,-0.293877367,0.798981763,-0.201999192,2.445551877,-0.341256769,4.428147025,-0.042775428,5.049502359,-0.008253569,5.705565456,0.053317213,6.254584015,-0.039552392,1.210508811,-0.340689965,2.429612635,-0.551754291,3.366941648,-0.394584179,1.349270059,-0.45664963,4.0227777,-1.162414707,4.375016628,0.191207447,-1.375045883,0.221798062,-0.499079071,0.174622158,0.422329376,0.178454707,0.098205815,0.22776949,0.337367623,0.205999677,0.176167846,0.23309604,0.256466088,0.178529876,0.403277904,0.258827718,0.521940175,0.196836862,0.881138234,0.174931848,0.707763022,0.102152536,0.655341227,0.11789127,0.881708248,0.131781668,0.344846936,0.150123437,0.399727904,0.164745788,0.43762949,0.267880946,0.344050047,0.281293356,0.457403862,0.292736875,0.919125249,0.084526918,0.48612978,0.093082916,0.429904232,0.127197443,0.428056247
25964_1#221,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607647,ERX3396798,ERR3372646,0.155538253,-0.898431231,-0.050036116,0.572921011,-0.278890288,1.117091737,-0.789856576,2.693532802,-0.070150131,0.929195319,-0.215137954,2.789244955,0.051222933,4.883008237,-0.151021324,3.893635886,-0.162525908,5.64224168,0.054643342,5.554585859,-0.144691426,1.346854271,-0.608605796,3.429208925,-1.175855101,4.977091907,-0.254675897,1.875931573,-0.398620099,4.82289756,-1.156425915,6.475822531,-0.224430069,0.864383352,-0.459599915,1.560916503,-0.44552185,3.728999342,0.154624438,0.099343436,0.192964589,0.205120832,0.185294957,0.197833373,0.270788802,0.271153563,0.107604412,0.30942587,0.218687416,0.744863247,0.152721376,0.829449417,0.269645057,1.343416985,0.246799264,1.187365182,0.250390098,1.239533279,0.172050323,0.17732023,0.211546633,0.422744348,0.1455561,0.760299467,0.415552968,0.261392529,0.445772003,0.422844696,0.452121261,0.937538997,0.165404302,0.189460779,0.114565344,0.311124154,0.165327509,0.829068323
25964_1#222,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607648,ERX3396799,ERR3372647,0.180797961,0.657334329,-0.308774673,0.363993425,-0.396180342,0.992916688,-0.886492651,2.608836943,-0.430416018,1.06219084,-0.333796148,3.301856751,-0.378693225,6.107298383,-0.340729184,7.051686112,-0.238565153,6.777939801,-0.098864927,8.066452094,-0.045131021,0.049298334,-0.584205394,-0.332871412,-0.944630973,-1.71224391,0.036079932,1.771275583,-0.876669992,4.625282951,-1.678813636,6.098436669,-0.309360681,0.606497485,-0.624716644,0.928401945,-0.584109394,3.798498919,0.102586242,0.168789813,0.281579079,0.297632851,0.228141115,0.221341259,0.132978288,0.26315298,0.3664888,0.4420882,0.235280647,0.69878661,0.242102723,0.676326495,0.257000294,2.160624371,0.288058291,0.54788735,0.235456358,1.144559109,0.206235028,0.392601008,0.263372026,0.41570027,0.221733179,0.789104338,0.521841802,0.533509574,0.513965686,0.737457649,0.68366451,0.804086474,0.194117666,0.669060743,0.123690299,0.481379346,0.159152119,1.247070389
25964_1#224,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607650,ERX3396801,ERR3372649,0.135645327,-0.604013735,-0.030385832,0.343827559,-0.199254051,0.651757305,-0.498146873,1.62127647,-0.33293051,1.154393338,-0.345757077,3.165466319,-0.306187743,4.998546155,-0.197959329,5.584219764,-0.048315873,6.01272242,0.015623753,6.247644013,-0.116278454,1.347850369,-0.46830387,3.59094212,-1.35854789,4.673910763,-0.454765129,1.603436393,-0.896633787,4.551406901,-1.492414135,6.187240631,-0.428847215,0.656602995,-0.493428954,1.52748811,-0.687168364,3.944642761,0.129566708,0.17575814,0.153990353,0.265187558,0.150092335,0.207384992,0.202676625,0.245956253,0.118922659,0.237707274,0.154211353,0.701775035,0.210170683,0.942561002,0.218876983,1.480403099,0.194374336,0.663388333,0.24251694,1.080894313,0.126802219,0.48470149,0.318726499,0.548593834,0.107728844,0.705623576,0.160542945,0.315014976,0.250656739,0.581655359,0.253629893,0.796027811,0.112373323,0.162410462,0.083689534,0.302831682,0.150716001,1.061212862
25964_1#225,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607651,ERX3396802,ERR3372650,-0.705108166,-2.35699151,-0.0414949,0.360353538,0.022657005,1.427380091,-0.722970379,2.729612483,-0.132417239,0.837907027,-0.068164606,2.435184476,-0.288801448,3.610797482,-0.148979154,4.72115695,-0.127592586,4.846786706,0.036915496,6.128401779,-0.032722731,0.59540409,-0.234772091,1.80397777,-0.622894103,0.006655723,-0.328587153,0.841728678,-0.314301255,3.517098026,-1.130977842,3.689969746,-0.123548164,0.286808969,-0.250465796,1.546155404,-0.222103214,3.7939204,0.253299322,0.374538721,0.33170972,0.493514173,0.372869782,0.445670457,0.375223601,0.447860969,0.159132919,0.358122176,0.121891416,0.551214356,0.146458254,0.595557492,0.282581309,1.134452626,0.238810342,0.785885647,0.215395687,0.841195529,0.171984557,0.716778941,0.325673907,0.760773373,0.152631025,0.536218825,0.391532367,0.380569947,0.346638277,0.58876296,0.372359605,1.294616378,0.189099268,0.341385606,0.189930918,0.296174864,0.214771512,0.576388563
25964_1#226,Carl-Fredrik Flach,PRJEB23294,SAMEA4607652,ERX3396803,ERR3372651,-0.107250955,-0.417479034,-0.077650549,0.257528365,-0.235622375,0.4548818,-0.552876359,1.600646499,0.151442256,0.829992905,0.256114714,2.152792096,0.079111634,4.286431917,-0.121733584,0.570161676,-0.025366063,0.824727781,-0.073659666,1.535616124,-0.031653742,1.035265731,-0.143481043,2.066464033,-0.644487753,0.672314153,-0.284896586,1.625433388,-0.865855138,4.263063179,-1.416736387,6.20161598,0.157529152,0.637074535,0.293481854,1.95584639,0.040612412,2.536669798,0.133861102,0.106988476,0.154659783,0.205918776,0.249323897,0.131050926,0.154210846,0.286604354,0.226476251,0.350663341,0.273367378,0.55177134,0.243531916,1.129325007,0.217097974,0.360837798,0.122908833,0.391294714,0.144226917,0.580423101,0.347850598,0.532880592,0.37550692,0.769087318,0.297609198,0.935909182,0.470353971,0.493550653,0.588133465,0.779928031,0.451799213,1.220741419,0.316437988,0.164819685,0.203720145,0.474368114,0.274426752,0.329473509
25964_1#227,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607653,ERX3396804,ERR3372652,0.061313083,0.832947378,-0.265060085,0.125217948,-0.424108818,0.397968305,-0.643431342,1.458712636,-0.142008006,1.093311027,-0.290916092,2.960159522,-0.242267284,4.491581981,-0.251667165,5.247894132,-0.090870313,6.030267969,0.05213661,6.381931791,0.012546026,1.450054367,-0.443335921,3.593573113,-1.304391643,3.462208144,-0.103246156,2.041009646,-0.66446202,4.966351364,-1.708673156,6.235826842,-0.407660938,0.714564913,-0.283847456,1.758617182,-0.574123518,3.352714847,0.134776657,0.139428782,0.30405444,0.243095132,0.202336926,0.182413458,0.187541365,0.26075859,0.407468342,0.429381045,0.482410969,0.749575959,0.430884472,0.793419412,0.296894947,0.440384062,0.265519177,0.857791837,0.26072098,1.075334612,0.148183806,0.280628509,0.237571235,0.346478302,0.1733583,0.565164464,0.552891267,0.51596544,0.578222934,0.608765797,0.601612625,0.931612937,0.241596002,0.403634222,0.236409705,0.344110707,0.309068523,0.646315767
25964_1#228,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607654,ERX3396805,ERR3372653,-0.187997024,-0.780017834,-0.148547773,0.067804338,-0.176697835,0.324182858,-0.625427313,1.580940998,-0.196446613,0.975373074,-0.313135467,2.691521297,-0.277868657,3.932468379,-0.007830406,5.171772259,0.05478446,6.101747972,0.09118848,6.629976924,-0.066957437,1.085987195,-0.37288768,2.832505448,-0.786548919,2.634316494,-0.407450827,1.959850044,-0.586323068,4.866891956,-1.766288506,6.723164618,-0.204417133,-0.46557219,-0.198576248,-0.091823536,-0.267730022,1.102263727,0.142901606,0.089509694,0.185717832,0.179853328,0.169427864,0.131598942,0.188035445,0.271482706,0.180768865,0.287222754,0.14728432,0.599084783,0.188588812,0.568086835,0.116740501,0.361809806,0.125738909,0.853461486,0.152132134,0.99597289,0.123266682,0.401511553,0.099108256,0.428799417,0.175690678,0.372486532,0.270192399,0.355473353,0.299916544,0.424273061,0.238626093,0.86085882,0.150451994,0.292827133,0.895670548,0.362359525,0.139977885,0.307919981
25964_1#230,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607656,ERX3396807,ERR3372655,-0.13711551,1.242712245,-0.156731159,0.311125733,-0.278213979,0.867039909,-0.807036717,2.278059543,-0.183359558,1.215135831,-0.106191841,3.270408209,-0.319770795,5.42497051,-0.338894571,5.244412171,-0.164705542,5.765661326,0.109297934,7.203972876,-0.128768769,1.225897525,-0.618679467,3.672235511,-1.466288558,4.797018921,-0.373807147,1.583010234,-0.490453195,4.407222163,-1.384489256,6.300716142,-0.305898743,0.792998653,-0.544878568,1.444167159,-0.441055452,4.278872057,0.055951384,0.06304064,0.101317767,0.13941359,0.216113215,0.215821845,0.073961959,0.340438662,0.219179438,0.514474812,0.169516705,0.716352406,0.148091175,0.666795281,0.210229608,1.008711479,0.201989443,0.809220919,0.130111902,1.251329903,0.150354557,0.350195902,0.192468561,0.595298396,0.197303923,0.877214228,0.277491777,0.303158504,0.30395243,0.371464545,0.334433167,0.664345957,0.227264821,0.609419807,0.194033872,0.496379363,0.248427839,1.129059024
25964_1#231,Jan Michiels,PRJEB23294,SAMEA4607657,ERX3396808,ERR3372656,-0.854748214,-1.487611337,0.055619542,0.171147054,-0.131012744,0.426550332,-0.459762122,0.568871846,0.051691532,1.351669768,0.220181244,2.789841116,0.010429327,2.656821558,-0.426208201,1.404025179,-0.351633865,1.539738289,-0.195471858,1.212670537,-0.044814494,0.785374733,-0.191107441,0.989711927,-0.484878946,-0.557089085,-0.364445408,0.985399076,-0.797957625,2.417150182,-1.052265864,3.581076821,0.089965567,-0.0799716,-0.172984705,-0.863164822,-0.247027168,-0.56058556,0.301379514,0.160956327,0.326230479,0.234601952,0.411953286,0.239052882,0.333790685,0.222449052,0.156023327,0.250882056,0.214649807,0.747762078,0.17474276,1.022880262,0.215515313,0.427347072,0.294714181,0.855327038,0.631525348,2.569222461,0.228610651,0.329794214,0.195994803,0.679097049,0.209033407,1.003943417,0.324847147,0.675455473,0.301098652,0.395612552,0.30340305,0.439085929,0.673795765,0.782715678,0.619069826,0.597614028,0.606450312,0.523054031
25964_1#232,Jan Michiels,PRJEB23294,SAMEA4607658,ERX3396809,ERR3372657,-0.080911467,-0.888315133,1.61E-04,-0.05647125,-0.187997862,0.30176962,-0.242730479,1.37387433,-0.287119038,1.086620669,-0.537866705,3.513648436,-0.210885047,5.064463092,-0.240635002,1.415732969,-0.107214289,1.497216672,-0.143230826,2.03760255,-0.492473903,2.615024775,-0.597820671,4.21709757,-1.208412258,4.194007806,-0.376236876,1.945363801,-0.992292332,3.753982406,-1.625342133,6.385916297,-0.238936402,0.430883687,-0.24936586,1.333906523,-0.31934361,3.418508838,0.18399291,0.123337739,0.226592375,0.176442715,0.246330255,0.334661795,0.206069519,0.75541255,0.195700789,0.346380693,0.150400171,0.717047472,0.257810945,0.819038133,0.172276497,0.471541463,0.17774254,0.483957412,0.236039489,0.582590922,0.197756599,0.784728679,0.178991906,0.546662892,0.295128378,0.564597994,0.130229156,0.66150941,0.188919007,0.865364282,0.144246559,0.704111094,0.141299735,0.279961281,0.337547645,0.568423852,0.239009941,0.436051679
25964_1#233,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607659,ERX3396810,ERR3372658,-0.567556053,-0.79825943,0.073649497,0.223890933,0.038384651,0.628024547,-0.360230781,1.944059269,0.095596222,1.157802961,0.070296031,3.096321131,-0.295831944,4.696221012,-0.11009155,4.534408459,-0.0890256,5.654038445,-0.003017641,5.856883043,-0.145282316,0.251931092,-0.406915733,1.633504494,-0.647810376,1.393958324,-0.411461332,0.675740592,-0.327667054,2.864190043,-1.174160609,3.12006371,0.057994378,0.173602431,0.149816211,0.530631735,0.077916699,1.594440935,0.167076333,0.202206335,0.264662447,0.379880956,0.254173292,0.228475432,0.29747323,0.266814667,0.238148322,0.274450625,0.254492695,0.546728263,0.142916265,0.750294682,0.181289444,1.071973709,0.169685868,0.88593341,0.205115488,1.091551471,0.152040922,0.432172022,0.185525865,0.534314576,0.189358656,0.638894088,0.236847224,0.518609443,0.194589873,0.585365354,0.221321717,1.606808327,0.122969933,0.209988868,0.119516798,0.284838605,0.138240715,0.397160203
25964_1#234,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607660,ERX3396811,ERR3372659,-0.108287393,-0.888093345,0.168023823,0.044175256,0.10592641,0.498367282,-0.403007382,1.229136399,-0.053025061,1.090979076,-0.038438221,3.281498489,-0.15975252,4.840604693,0.030094346,5.192779559,-0.189214766,6.094892952,0.129854279,6.32109049,-0.083022223,0.887826419,-0.566350237,2.605374029,-1.155196684,2.103190185,0.03148041,0.436580454,0.236371988,2.371860862,-0.249873059,1.093665739,-0.208957626,0.305301875,-0.298512825,0.792291786,-0.249317013,1.901434556,0.221159576,0.205849173,0.268469203,0.242535192,0.233324423,0.230899874,0.346030402,0.258564496,0.279478333,0.304800146,0.382755568,0.72584268,0.275344585,0.772462017,0.219640111,0.924517404,0.236982811,0.908300769,0.193164512,1.126444128,0.157410675,0.245614818,0.175816371,0.343941315,0.244909799,0.404085225,0.160450687,0.388977897,0.238192367,0.534397291,0.231847919,2.273228377,0.133594727,0.263566488,0.096677123,0.344624183,0.199830782,0.240124317
25964_1#235,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607661,ERX3396812,ERR3372660,-0.330509113,-0.300218461,0.023841331,0.255089889,-0.021764504,0.556130125,-0.453159398,1.434748647,-0.097822443,1.114995716,-0.090408292,3.270050037,-0.233137852,4.940975325,0.032892392,6.204697017,0.006741248,6.494068861,0.17766824,6.790210045,-0.069747609,0.761717675,-0.379788426,2.251342495,-1.098449984,1.867465627,-0.245126467,0.527212272,-0.169886545,2.148396655,-0.721763442,1.601159144,-0.174411171,-0.251799089,-0.286092769,-0.008797235,-0.30479937,1.160652052,0.224902137,0.18888257,0.291466261,0.331415141,0.236778242,0.228505178,0.277693571,0.218401118,0.190730768,0.348106462,0.195475732,0.610785563,0.15751923,0.713651448,0.177915289,0.857945422,0.191935202,0.736527287,0.181012401,0.769410379,0.061140236,0.204565959,0.136170899,0.281912888,0.175598551,0.359851397,0.230240615,0.593025311,0.19400509,0.702951552,0.386750232,1.204633077,0.059671386,0.286970572,0.087909177,0.332727286,0.169448767,0.396572668
25964_1#237,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607663,ERX3396814,ERR3372662,0.265680284,-0.343812758,-0.029356098,-0.263128405,-0.13690383,0.111785473,-0.681284026,1.208084905,-0.258487569,0.693725886,-0.478217181,2.044145779,-0.226709351,4.070745877,0.008801688,5.956868546,0.022892623,6.199933713,0.317897879,6.858401759,-0.129523158,1.029344063,-0.482672445,3.060026128,-0.981465397,3.177507163,-0.191307351,1.283365011,-0.209344617,2.800605322,-0.807552314,3.772450454,-0.335827075,0.472297505,-0.297384165,1.948564595,-0.401576803,3.935024509,0.261433585,0.221776319,0.290573195,0.277991045,0.289892552,0.268680048,0.289422634,0.458724797,0.203308708,0.312553719,0.247702565,0.505801845,0.154978809,0.625617603,0.212403417,1.205309014,0.245130257,1.196450067,0.199586614,1.314052943,0.12535164,0.223938961,0.099339762,0.581146158,0.170378668,0.329910216,0.911443729,3.731475069,0.931839427,3.75880518,0.940359859,3.797268078,0.106529016,0.267849174,0.158488705,0.429040629,0.499553669,0.971442415
25964_1#238,Jan Michiels,PRJEB23294,SAMEA4607664,ERX3396815,ERR3372663,0.214207088,-0.48119139,-0.087483135,-0.139647133,-0.138473924,0.437983409,-0.639479649,1.042908308,-0.207705018,0.70893611,-0.216656797,2.054212993,-0.358350344,3.488618102,-0.629195811,1.335391472,-0.475995202,1.529167679,-0.538243936,1.890702028,-0.161249592,1.58868051,-0.255504825,2.773834878,-0.70235698,2.81730012,0.099736911,1.239566544,-0.772272242,2.380626211,-0.709020848,3.374139411,0.173395776,-0.336764603,0.265600539,0.270100679,0.035150047,1.292571019,0.148048871,0.169576786,0.488341618,0.444431321,0.426784019,0.290714217,0.216691906,0.425361273,0.124493767,0.282519102,0.195978298,0.999620243,0.134757417,0.799121952,0.150438822,0.468655709,0.189804866,0.621873159,0.293556081,0.456913466,0.331393798,1.034449689,0.260797493,0.739436,0.258720229,0.810523581,0.241655736,0.435505163,0.262518403,0.557221849,0.370673386,0.634335159,0.2624982,0.384363823,0.344819424,0.783626975,0.227708871,0.447279604
25964_1#24,Ed Moore,PRJEB23294,SAMEA4607466,ERX3396601,ERR3372449,0.467959574,-1.618757507,-0.201651254,-0.346019742,-0.069764872,-0.203108015,-0.424478989,0.534444766,-0.272989468,0.766454151,-0.497973342,3.021526462,-0.474334379,4.284794728,-0.339206497,3.611072215,-0.256632948,4.372380678,-0.254263573,4.935361289,0.108582502,0.263372428,-0.033879806,2.036568027,-0.321621727,1.962380126,0.470314526,0.632189766,0.184586745,1.224709045,-0.091498728,1.695288666,-0.245616107,-0.483924518,-0.018896229,0.596436861,-0.233614772,2.498403955,0.066320763,0.137652992,0.261531842,0.744115233,0.273812371,0.531280386,0.153943918,0.411209682,0.174569586,0.424327715,0.238280517,0.6590659,0.183049042,0.785837919,0.285310956,1.118410929,0.281252088,0.993921427,0.270048105,1.507911271,0.28712449,0.519901042,0.256370008,0.513624459,0.329045095,0.539937735,0.201964778,0.256793451,0.169285151,0.422345489,0.384899492,0.558724527,0.267984648,1.186951411,0.176838825,0.474210016,0.209583908,0.190364997
25964_1#240,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607666,ERX3396817,ERR3372665,-0.227037883,-0.538224053,0.148915382,0.06091068,-0.028903079,0.320728016,-0.503348873,1.189574656,-0.116186306,1.056316297,-0.148461126,3.074489758,-0.27207131,4.76096681,-0.136033262,4.662292832,-0.184522339,5.299793144,0.03106845,5.585963551,-0.165128407,0.441786508,-0.30542907,1.76858586,-0.764864404,1.519378564,-0.375724487,1.490164024,-0.338653723,4.377942809,-1.216449334,6.168097417,-0.071601706,0.803090286,-0.210326432,1.2607642,-0.298025877,3.463174798,0.110036029,0.104455506,0.183845036,0.261315502,0.326579234,0.188808468,0.198557623,0.262896422,0.201218806,0.310933616,0.17359748,0.803980743,0.141730903,0.870072461,0.203141972,0.786346017,0.208033058,0.98338016,0.236866472,1.109158223,0.164358575,0.218455787,0.134273134,0.401450411,0.062603956,0.415220359,0.292065992,0.452568223,0.346045895,0.564529397,0.309350597,1.049688775,0.348950629,0.207775975,0.165000813,0.578900564,0.153073491,0.892154333
25964_1#241,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607667,ERX3396818,ERR3372666,0.062141886,-0.158352819,0.186773282,0.007914817,0.045305866,0.280889787,-0.311600094,1.308572726,-0.156771905,1.262496277,-0.302115369,3.265269112,-0.32651094,4.591460573,0.069097892,4.174029484,-0.036999459,5.053025206,0.293563571,5.465354743,-0.124383783,0.865233332,-0.378355996,2.306067974,-0.909682323,2.559548815,-0.309584347,0.76255471,-0.098099158,2.498169202,-0.561007145,2.729932264,-0.371114587,0.186436325,-0.303121349,0.454000429,-0.413292787,1.596302071,0.203559943,0.173052949,0.253234261,0.233595652,0.220694862,0.202756994,0.288660705,0.240104914,0.181286633,0.352013701,0.346624951,0.610413028,0.136382577,0.693560265,0.115320737,0.580082549,0.271995232,1.038971158,0.269020176,1.056678025,0.084701177,0.228291801,0.096527945,0.353848407,0.123206141,0.563710646,0.264694044,0.414324537,0.226934801,0.515858671,0.304219007,0.728294369,0.094104461,0.176090833,0.111227656,0.322485936,0.185964994,0.34943052
25964_1#242,Carl-Fredrik Flach,PRJEB23294,SAMEA4607669,ERX3396819,ERR3372667,-0.410147468,-1.939801615,0.058928911,0.279283451,-0.036501565,0.683203401,-0.141076297,2.167813086,-0.077845741,1.296583618,-0.202725802,2.536920227,-0.358643347,4.97806504,-0.049294652,2.214625548,-0.070670677,2.865900862,-0.20541909,3.836239371,-0.020867632,0.850776411,-0.093490158,1.860396198,-0.561866135,0.73351209,-0.123136398,1.840647136,-0.63634233,5.572498818,-1.290167109,7.967254494,0.120947174,0.630789529,-0.116638025,2.698041954,-0.263890578,4.204306745,0.114180733,0.131518177,0.144778513,0.284229193,0.199410414,0.236090542,0.124140556,0.323011764,0.251179771,0.643823593,0.192209585,0.71576359,0.117059854,0.738489508,0.227876434,0.426151991,0.141144786,0.431642795,0.216281612,0.959125144,0.49201948,0.343883914,0.225887836,0.517335058,0.194872121,0.91499572,0.427391715,0.607707019,0.408135796,0.806965045,0.420021142,0.708304474,0.261350087,0.331554348,0.230397034,0.612855369,0.240284184,0.431917338
25964_1#243,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607670,ERX3396820,ERR3372668,0.231649752,0.304934351,-0.051682875,-0.398349447,-0.058834776,0.055757745,-0.520510346,0.8604511,-0.281808052,0.621048177,-0.308375019,2.731991586,-0.374914957,5.291047511,-0.13812304,5.644131766,-0.105476357,6.5862987,-0.081554451,6.583683925,-0.012885449,2.306825649,-0.38601971,4.339933407,-1.548865959,6.202666862,-0.230520937,2.268364704,-0.616849936,5.253104157,-1.264414593,7.19774313,-0.610354955,0.593343221,-0.557296213,2.44414721,-0.831868553,3.956127368,0.256640552,0.362556068,0.322652591,0.394219696,0.309465096,0.394715427,0.324294444,0.444402855,0.359725157,0.897742321,0.567036105,1.019946056,0.363086458,1.056649259,0.481356826,0.670135532,0.466340875,1.222476293,0.376716329,1.067551438,0.343459668,0.359688564,0.348444337,0.503691574,0.349294836,0.713522576,0.487690479,0.808258682,0.464948224,0.73454633,0.480108063,0.862322378,0.194694744,0.479504591,0.166277142,0.313943528,0.272357261,0.838196151
25964_1#244,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607671,ERX3396821,ERR3372669,-0.163754442,-0.640197088,0.010699464,0.313808713,-0.103938289,1.016880904,-0.544472736,2.510099035,-0.151357505,1.324739702,-0.017574909,3.39705911,-0.130828035,4.926805339,0.141547101,5.06050727,0.022731845,5.878402069,0.258670152,6.518934746,-0.129146935,1.510303589,-0.528055041,4.04659441,-1.147127038,5.302243184,-0.455179185,1.779141643,-0.786383793,4.058450202,-1.74322575,6.328160172,-0.304485678,0.361124786,-0.266671793,1.827338834,-0.407263958,3.651531633,0.198377667,0.152374706,0.29572741,0.203398272,0.236236196,0.196958187,0.245729652,0.341576143,0.241916235,0.299563736,0.343227581,0.313874842,0.125693997,0.747641591,0.186192487,0.562026609,0.153303234,0.925659905,0.17005183,0.891066065,0.165611138,0.298254114,0.161484661,0.645473961,0.22777306,0.267495453,0.377509212,0.518693467,0.336544156,0.424460497,0.353540554,0.944031594,0.139545471,0.32242553,0.155064313,0.256559426,0.238383113,0.546118719
25964_1#245,Christina Åhrén/Nahid Karami,PRJEB23294,SAMEA4607672,ERX3396822,ERR3372670,0.352012583,-1.157459164,-0.020446327,0.092127406,-0.101168923,0.350574521,-0.582184764,1.024565491,-0.284445971,0.676841874,-0.261870703,2.143697447,-0.233124452,3.87590736,0.032131099,4.835954165,0.141878647,5.773762988,0.344925418,6.261688168,-0.074830821,1.491680054,-0.484458503,3.320864851,-0.917742759,2.828942439,-0.606006259,2.057637181,-0.501895229,5.036641015,-1.550004529,6.615631207,-0.459366296,0.322245764,-0.398293292,1.757652324,-0.596255792,3.815161522,0.194711175,0.201386916,0.213693466,0.259528709,0.218957151,0.314586393,0.211284709,0.426639188,0.278157513,0.412444483,0.419324463,0.611582537,0.157490657,0.715641795,0.162789323,0.739493678,0.212544271,1.208156977,0.218409924,1.439747787,0.163490719,0.270354681,0.117449189,0.632965605,0.150801628,0.523298826,0.414225503,0.546655619,0.466529024,0.636023631,0.455531422,0.891408439,0.138939188,0.345380827,0.18155261,0.382950473,0.267398302,0.494889447
